,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Date_time
1993436,0.388,0.084,240.79,1.6,0.0,1.0,1.0,2010-10-01 01:20:00
1993437,0.366,0.054,240.89,1.4,0.0,1.0,0.0,2010-10-01 01:21:00
1993438,0.366,0.054,240.88,1.4,0.0,1.0,1.0,2010-10-01 01:22:00
1993439,0.366,0.054,240.5,1.4,0.0,2.0,1.0,2010-10-01 01:23:00
1993440,0.368,0.054,240.99,1.4,0.0,1.0,0.0,2010-10-01 01:24:00
1993441,0.366,0.054,241.08,1.4,0.0,1.0,1.0,2010-10-01 01:25:00
1993442,0.366,0.054,240.97,1.4,0.0,1.0,1.0,2010-10-01 01:26:00
1993443,0.366,0.054,240.7,1.4,0.0,1.0,0.0,2010-10-01 01:27:00
1993444,0.366,0.054,241.04,1.4,0.0,1.0,1.0,2010-10-01 01:28:00
1993445,0.368,0.054,241.3,1.4,0.0,2.0,1.0,2010-10-01 01:29:00
1993446,0.368,0.056,241.78,1.4,0.0,1.0,0.0,2010-10-01 01:30:00
1993447,0.368,0.056,241.99,1.4,0.0,1.0,1.0,2010-10-01 01:31:00
1993448,0.368,0.054,241.48,1.4,0.0,1.0,0.0,2010-10-01 01:32:00
1993449,0.366,0.054,241.0,1.4,0.0,1.0,1.0,2010-10-01 01:33:00
1993450,0.366,0.054,241.2,1.4,0.0,1.0,1.0,2010-10-01 01:34:00
1993451,0.454,0.148,241.22,2.0,0.0,1.0,0.0,2010-10-01 01:35:00
1993452,0.474,0.186,241.1,2.0,0.0,2.0,1.0,2010-10-01 01:36:00
1993453,0.468,0.186,240.83,2.0,0.0,1.0,1.0,2010-10-01 01:37:00
1993454,0.468,0.188,241.16,2.0,0.0,1.0,0.0,2010-10-01 01:38:00
1993455,0.464,0.186,240.88,2.0,0.0,1.0,1.0,2010-10-01 01:39:00
1993456,0.464,0.188,241.13,2.0,0.0,1.0,1.0,2010-10-01 01:40:00
1993457,0.462,0.188,241.47,2.0,0.0,1.0,0.0,2010-10-01 01:41:00
1993458,0.462,0.188,241.34,2.0,0.0,2.0,1.0,2010-10-01 01:42:00
1993459,0.46,0.186,240.87,2.0,0.0,1.0,1.0,2010-10-01 01:43:00
1993460,0.46,0.186,240.96,2.0,0.0,1.0,0.0,2010-10-01 01:44:00
1993461,0.458,0.186,240.85,2.0,0.0,1.0,1.0,2010-10-01 01:45:00
1993462,0.458,0.184,240.37,2.0,0.0,1.0,1.0,2010-10-01 01:46:00
1993463,0.45,0.174,240.31,2.0,0.0,1.0,0.0,2010-10-01 01:47:00
1993464,0.42,0.104,240.26,1.8,0.0,1.0,1.0,2010-10-01 01:48:00
1993465,0.44,0.154,239.86,1.8,0.0,2.0,0.0,2010-10-01 01:49:00
1993466,0.44,0.154,239.85,1.8,0.0,1.0,1.0,2010-10-01 01:50:00
1993467,0.442,0.158,240.97,1.8,0.0,1.0,1.0,2010-10-01 01:51:00
1993468,0.44,0.158,240.87,1.8,0.0,1.0,0.0,2010-10-01 01:52:00
1993469,0.44,0.16,241.52,1.8,0.0,1.0,1.0,2010-10-01 01:53:00
1993470,0.44,0.16,241.62,1.8,0.0,1.0,1.0,2010-10-01 01:54:00
1993471,0.438,0.16,241.74,1.8,0.0,2.0,0.0,2010-10-01 01:55:00
1993472,0.652,0.218,241.79,3.0,0.0,1.0,4.0,2010-10-01 01:56:00
1993473,0.978,0.31,241.58,4.2,0.0,1.0,11.0,2010-10-01 01:57:00
1993474,1.004,0.302,241.08,4.2,0.0,1.0,11.0,2010-10-01 01:58:00
1993475,1.03,0.3,240.87,4.4,0.0,1.0,12.0,2010-10-01 01:59:00
1993476,1.038,0.3,240.99,4.4,0.0,1.0,12.0,2010-10-01 02:00:00
1993477,1.042,0.298,240.75,4.4,0.0,1.0,12.0,2010-10-01 02:01:00
1993478,0.43,0.078,241.54,2.0,0.0,2.0,2.0,2010-10-01 02:02:00
1993479,0.368,0.056,241.73,1.4,0.0,1.0,1.0,2010-10-01 02:03:00
1993480,0.392,0.074,241.54,1.6,0.0,1.0,1.0,2010-10-01 02:04:00
1993481,0.474,0.186,240.82,2.0,0.0,1.0,0.0,2010-10-01 02:05:00
1993482,0.47,0.186,240.87,2.0,0.0,1.0,1.0,2010-10-01 02:06:00
1993483,0.466,0.186,240.94,2.0,0.0,1.0,1.0,2010-10-01 02:07:00
1993484,0.466,0.188,241.19,2.0,0.0,1.0,0.0,2010-10-01 02:08:00
1993485,0.464,0.19,241.57,2.0,0.0,1.0,1.0,2010-10-01 02:09:00
1993486,0.46,0.194,242.31,2.0,0.0,2.0,0.0,2010-10-01 02:10:00
1993487,0.43,0.194,242.24,1.8,0.0,1.0,1.0,2010-10-01 02:11:00
1993488,0.406,0.192,241.55,1.8,0.0,1.0,1.0,2010-10-01 02:12:00
1993489,0.404,0.188,241.04,1.8,0.0,1.0,0.0,2010-10-01 02:13:00
1993490,0.406,0.19,241.43,1.8,0.0,1.0,1.0,2010-10-01 02:14:00
1993491,0.404,0.188,241.06,1.8,0.0,1.0,1.0,2010-10-01 02:15:00
1993492,0.404,0.188,241.09,1.8,0.0,1.0,0.0,2010-10-01 02:16:00
1993493,0.346,0.106,241.62,1.4,0.0,2.0,1.0,2010-10-01 02:17:00
1993494,0.312,0.058,241.84,1.2,0.0,1.0,1.0,2010-10-01 02:18:00
1993495,0.312,0.058,241.76,1.2,0.0,1.0,0.0,2010-10-01 02:19:00
1993496,0.312,0.058,241.86,1.2,0.0,1.0,1.0,2010-10-01 02:20:00
1993497,0.312,0.058,241.68,1.2,0.0,1.0,1.0,2010-10-01 02:21:00
1993498,0.312,0.058,241.77,1.2,0.0,1.0,0.0,2010-10-01 02:22:00
1993499,0.312,0.058,242.23,1.2,0.0,1.0,1.0,2010-10-01 02:23:00
1993500,0.334,0.068,242.37,1.6,0.0,2.0,1.0,2010-10-01 02:24:00
1993501,0.39,0.164,242.49,1.6,0.0,1.0,0.0,2010-10-01 02:25:00
1993502,0.388,0.164,242.31,1.6,0.0,1.0,1.0,2010-10-01 02:26:00
1993503,0.386,0.16,241.53,1.6,0.0,1.0,0.0,2010-10-01 02:27:00
1993504,0.384,0.158,241.14,1.6,0.0,1.0,1.0,2010-10-01 02:28:00
1993505,0.384,0.16,241.37,1.6,0.0,1.0,1.0,2010-10-01 02:29:00
1993506,0.384,0.16,241.45,1.6,0.0,1.0,0.0,2010-10-01 02:30:00
1993507,0.382,0.16,241.48,1.6,0.0,2.0,1.0,2010-10-01 02:31:00
1993508,0.368,0.144,241.25,1.6,0.0,1.0,1.0,2010-10-01 02:32:00
1993509,0.31,0.058,242.33,1.2,0.0,1.0,0.0,2010-10-01 02:33:00
1993510,0.394,0.146,242.44,1.8,0.0,1.0,1.0,2010-10-01 02:34:00
1993511,0.42,0.196,243.01,1.8,0.0,1.0,1.0,2010-10-01 02:35:00
1993512,0.416,0.2,243.53,1.8,0.0,1.0,0.0,2010-10-01 02:36:00
1993513,0.414,0.198,243.41,1.8,0.0,1.0,1.0,2010-10-01 02:37:00
1993514,0.412,0.196,243.05,1.8,0.0,2.0,1.0,2010-10-01 02:38:00
1993515,0.41,0.196,242.87,1.8,0.0,1.0,0.0,2010-10-01 02:39:00
1993516,0.406,0.192,241.83,1.8,0.0,1.0,1.0,2010-10-01 02:40:00
1993517,0.404,0.192,241.78,1.8,0.0,1.0,1.0,2010-10-01 02:41:00
1993518,0.404,0.194,242.11,1.8,0.0,1.0,0.0,2010-10-01 02:42:00
1993519,0.404,0.192,242.06,1.8,0.0,1.0,1.0,2010-10-01 02:43:00
1993520,0.404,0.192,241.81,1.8,0.0,1.0,1.0,2010-10-01 02:44:00
1993521,0.402,0.192,241.85,1.8,0.0,1.0,0.0,2010-10-01 02:45:00
1993522,0.394,0.18,241.88,1.8,0.0,2.0,1.0,2010-10-01 02:46:00
1993523,0.31,0.06,242.59,1.2,0.0,1.0,0.0,2010-10-01 02:47:00
1993524,0.31,0.058,242.53,1.2,0.0,1.0,1.0,2010-10-01 02:48:00
1993525,0.308,0.056,241.68,1.2,0.0,1.0,1.0,2010-10-01 02:49:00
1993526,0.308,0.056,241.26,1.2,0.0,1.0,0.0,2010-10-01 02:50:00
1993527,0.308,0.056,241.39,1.2,0.0,1.0,1.0,2010-10-01 02:51:00
1993528,0.306,0.054,240.66,1.2,0.0,1.0,1.0,2010-10-01 02:52:00
1993529,0.306,0.054,240.31,1.2,0.0,2.0,0.0,2010-10-01 02:53:00
1993530,0.306,0.054,240.71,1.2,0.0,1.0,1.0,2010-10-01 02:54:00
1993531,0.308,0.056,240.97,1.2,0.0,1.0,1.0,2010-10-01 02:55:00
1993532,0.306,0.052,240.13,1.2,0.0,1.0,0.0,2010-10-01 02:56:00
1993533,0.306,0.054,240.38,1.2,0.0,1.0,1.0,2010-10-01 02:57:00
1993534,0.256,0.0,240.94,1.0,0.0,0.0,1.0,2010-10-01 02:58:00
1993535,0.238,0.064,241.28,1.0,0.0,0.0,0.0,2010-10-01 02:59:00
1993536,0.238,0.062,241.48,1.0,0.0,0.0,1.0,2010-10-01 03:00:00
1993537,0.296,0.0,241.13,1.4,0.0,0.0,0.0,2010-10-01 03:01:00
1993538,0.316,0.0,241.48,1.2,0.0,0.0,1.0,2010-10-01 03:02:00
1993539,0.338,0.052,241.18,1.4,0.0,0.0,1.0,2010-10-01 03:03:00
1993540,1.42,0.158,239.61,6.0,0.0,0.0,15.0,2010-10-01 03:04:00
1993541,1.516,0.156,239.53,6.2,0.0,0.0,19.0,2010-10-01 03:05:00
1993542,1.504,0.158,240.2,6.2,0.0,0.0,19.0,2010-10-01 03:06:00
1993543,1.492,0.158,240.43,6.2,0.0,0.0,19.0,2010-10-01 03:07:00
1993544,1.486,0.16,240.68,6.2,0.0,0.0,18.0,2010-10-01 03:08:00
1993545,1.444,0.11,240.29,6.0,0.0,0.0,19.0,2010-10-01 03:09:00
1993546,1.402,0.054,240.08,5.8,0.0,0.0,18.0,2010-10-01 03:10:00
1993547,1.392,0.054,239.41,5.8,0.0,0.0,18.0,2010-10-01 03:11:00
1993548,1.398,0.054,240.02,5.8,0.0,0.0,19.0,2010-10-01 03:12:00
1993549,1.398,0.054,240.1,5.8,0.0,0.0,18.0,2010-10-01 03:13:00
1993550,1.398,0.056,240.34,5.8,0.0,0.0,18.0,2010-10-01 03:14:00
1993551,1.4,0.056,240.57,5.8,0.0,0.0,19.0,2010-10-01 03:15:00
1993552,1.33,0.0,239.6,5.4,0.0,0.0,18.0,2010-10-01 03:16:00
1993553,1.294,0.076,239.24,5.4,0.0,0.0,18.0,2010-10-01 03:17:00
1993554,1.294,0.076,239.26,5.4,0.0,0.0,18.0,2010-10-01 03:18:00
1993555,1.292,0.078,239.1,5.4,0.0,0.0,18.0,2010-10-01 03:19:00
1993556,1.286,0.078,238.56,5.4,0.0,0.0,18.0,2010-10-01 03:20:00
1993557,1.288,0.078,238.65,5.4,0.0,0.0,19.0,2010-10-01 03:21:00
1993558,1.292,0.076,239.1,5.4,0.0,0.0,18.0,2010-10-01 03:22:00
1993559,1.294,0.078,239.19,5.4,0.0,0.0,18.0,2010-10-01 03:23:00
1993560,1.292,0.078,239.04,5.4,0.0,0.0,18.0,2010-10-01 03:24:00
1993561,1.292,0.078,239.16,5.4,0.0,0.0,18.0,2010-10-01 03:25:00
1993562,1.292,0.078,239.07,5.4,0.0,0.0,18.0,2010-10-01 03:26:00
1993563,1.29,0.078,239.03,5.4,0.0,0.0,18.0,2010-10-01 03:27:00
1993564,1.296,0.076,239.47,5.4,0.0,0.0,19.0,2010-10-01 03:28:00
1993565,1.294,0.076,239.3,5.4,0.0,0.0,18.0,2010-10-01 03:29:00
1993566,1.294,0.076,239.3,5.4,0.0,0.0,18.0,2010-10-01 03:30:00
1993567,1.296,0.076,239.59,5.4,0.0,0.0,18.0,2010-10-01 03:31:00
1993568,1.298,0.076,239.62,5.4,0.0,0.0,18.0,2010-10-01 03:32:00
1993569,1.358,0.0,239.55,5.6,0.0,0.0,19.0,2010-10-01 03:33:00
1993570,1.406,0.054,239.83,5.8,0.0,0.0,18.0,2010-10-01 03:34:00
1993571,1.404,0.054,239.97,5.8,0.0,0.0,18.0,2010-10-01 03:35:00
1993572,1.402,0.054,240.0,5.8,0.0,0.0,18.0,2010-10-01 03:36:00
1993573,1.4,0.054,240.01,5.8,0.0,0.0,19.0,2010-10-01 03:37:00
1993574,1.46,0.116,239.93,6.0,0.0,0.0,18.0,2010-10-01 03:38:00
1993575,1.466,0.154,239.38,6.0,0.0,0.0,18.0,2010-10-01 03:39:00
1993576,1.46,0.152,238.85,6.0,0.0,0.0,18.0,2010-10-01 03:40:00
1993577,1.446,0.15,237.9,6.0,0.0,0.0,18.0,2010-10-01 03:41:00
1993578,1.444,0.15,237.7,6.0,0.0,0.0,18.0,2010-10-01 03:42:00
1993579,1.446,0.15,237.89,6.0,0.0,0.0,18.0,2010-10-01 03:43:00
1993580,1.442,0.15,237.8,6.0,0.0,0.0,18.0,2010-10-01 03:44:00
1993581,1.444,0.15,238.13,6.0,0.0,0.0,18.0,2010-10-01 03:45:00
1993582,1.336,0.0,238.92,5.6,0.0,0.0,18.0,2010-10-01 03:46:00
1993583,1.382,0.0,239.22,5.8,0.0,0.0,19.0,2010-10-01 03:47:00
1993584,1.892,0.158,238.93,7.8,0.0,0.0,28.0,2010-10-01 03:48:00
1993585,0.914,0.172,239.7,4.0,0.0,0.0,13.0,2010-10-01 03:49:00
1993586,0.892,0.174,239.74,3.8,0.0,0.0,12.0,2010-10-01 03:50:00
1993587,0.904,0.172,239.83,3.8,0.0,0.0,12.0,2010-10-01 03:51:00
1993588,0.912,0.176,240.35,3.8,0.0,0.0,11.0,2010-10-01 03:52:00
1993589,0.548,0.046,240.78,2.6,0.0,0.0,7.0,2010-10-01 03:53:00
1993590,0.238,0.064,240.78,1.0,0.0,0.0,1.0,2010-10-01 03:54:00
1993591,0.238,0.064,240.77,1.0,0.0,0.0,0.0,2010-10-01 03:55:00
1993592,0.238,0.064,240.66,1.0,0.0,0.0,1.0,2010-10-01 03:56:00
1993593,0.238,0.064,240.81,1.0,0.0,0.0,1.0,2010-10-01 03:57:00
1993594,0.238,0.064,241.21,1.0,0.0,0.0,0.0,2010-10-01 03:58:00
1993595,0.238,0.062,241.42,1.0,0.0,0.0,1.0,2010-10-01 03:59:00
1993596,0.238,0.064,241.03,1.0,0.0,0.0,1.0,2010-10-01 04:00:00
1993597,0.238,0.064,240.55,1.0,0.0,0.0,0.0,2010-10-01 04:01:00
1993598,0.238,0.064,240.4,1.0,0.0,0.0,1.0,2010-10-01 04:02:00
1993599,0.358,0.066,240.39,1.6,0.0,0.0,1.0,2010-10-01 04:03:00
1993600,0.344,0.066,240.07,1.4,0.0,0.0,0.0,2010-10-01 04:04:00
1993601,0.342,0.066,240.44,1.4,0.0,0.0,1.0,2010-10-01 04:05:00
1993602,0.34,0.068,240.57,1.4,0.0,0.0,1.0,2010-10-01 04:06:00
1993603,0.336,0.066,240.23,1.4,0.0,0.0,0.0,2010-10-01 04:07:00
1993604,0.334,0.064,239.69,1.4,0.0,0.0,1.0,2010-10-01 04:08:00
1993605,0.334,0.064,239.68,1.4,0.0,0.0,0.0,2010-10-01 04:09:00
1993606,0.332,0.064,239.62,1.4,0.0,0.0,1.0,2010-10-01 04:10:00
1993607,0.334,0.068,240.77,1.4,0.0,0.0,1.0,2010-10-01 04:11:00
1993608,0.334,0.068,241.17,1.4,0.0,0.0,0.0,2010-10-01 04:12:00
1993609,0.334,0.068,241.06,1.4,0.0,0.0,1.0,2010-10-01 04:13:00
1993610,0.334,0.068,240.98,1.4,0.0,0.0,1.0,2010-10-01 04:14:00
1993611,0.296,0.0,241.4,1.4,0.0,0.0,0.0,2010-10-01 04:15:00
1993612,0.318,0.0,241.5,1.2,0.0,0.0,1.0,2010-10-01 04:16:00
1993613,0.316,0.0,241.0,1.2,0.0,0.0,1.0,2010-10-01 04:17:00
1993614,0.32,0.0,241.77,1.2,0.0,0.0,0.0,2010-10-01 04:18:00
1993615,0.316,0.0,241.55,1.2,0.0,0.0,1.0,2010-10-01 04:19:00
1993616,0.316,0.0,241.47,1.2,0.0,0.0,1.0,2010-10-01 04:20:00
1993617,0.314,0.0,241.41,1.2,0.0,0.0,0.0,2010-10-01 04:21:00
1993618,0.312,0.0,241.38,1.2,0.0,0.0,1.0,2010-10-01 04:22:00
1993619,0.288,0.0,241.32,1.2,0.0,0.0,0.0,2010-10-01 04:23:00
1993620,0.24,0.062,241.26,1.0,0.0,0.0,1.0,2010-10-01 04:24:00
1993621,0.238,0.062,241.48,1.0,0.0,0.0,1.0,2010-10-01 04:25:00
1993622,0.24,0.062,241.28,1.0,0.0,0.0,0.0,2010-10-01 04:26:00
1993623,0.238,0.062,241.24,1.0,0.0,0.0,1.0,2010-10-01 04:27:00
1993624,0.238,0.064,240.69,1.0,0.0,0.0,1.0,2010-10-01 04:28:00
1993625,0.238,0.064,240.3,1.0,0.0,0.0,0.0,2010-10-01 04:29:00
1993626,0.238,0.064,240.58,1.0,0.0,0.0,1.0,2010-10-01 04:30:00
1993627,0.238,0.064,240.78,1.0,0.0,0.0,1.0,2010-10-01 04:31:00
1993628,0.302,0.0,240.85,1.4,0.0,0.0,0.0,2010-10-01 04:32:00
1993629,0.348,0.068,240.78,1.4,0.0,0.0,1.0,2010-10-01 04:33:00
1993630,0.342,0.068,240.84,1.4,0.0,0.0,1.0,2010-10-01 04:34:00
1993631,0.34,0.068,240.84,1.4,0.0,0.0,0.0,2010-10-01 04:35:00
1993632,0.338,0.066,240.55,1.4,0.0,0.0,1.0,2010-10-01 04:36:00
1993633,0.336,0.068,240.77,1.4,0.0,0.0,0.0,2010-10-01 04:37:00
1993634,0.336,0.068,240.93,1.4,0.0,0.0,1.0,2010-10-01 04:38:00
1993635,0.334,0.068,240.88,1.4,0.0,0.0,1.0,2010-10-01 04:39:00
1993636,0.334,0.068,241.13,1.4,0.0,0.0,0.0,2010-10-01 04:40:00
1993637,0.334,0.068,240.98,1.4,0.0,0.0,1.0,2010-10-01 04:41:00
1993638,0.332,0.066,240.64,1.4,0.0,0.0,1.0,2010-10-01 04:42:00
1993639,0.332,0.068,240.7,1.4,0.0,0.0,0.0,2010-10-01 04:43:00
1993640,0.316,0.046,240.35,1.4,0.0,0.0,1.0,2010-10-01 04:44:00
1993641,0.236,0.064,240.18,1.0,0.0,0.0,1.0,2010-10-01 04:45:00
1993642,0.236,0.064,240.01,1.0,0.0,0.0,0.0,2010-10-01 04:46:00
1993643,0.236,0.064,240.24,1.0,0.0,0.0,1.0,2010-10-01 04:47:00
1993644,0.238,0.064,240.99,1.0,0.0,0.0,1.0,2010-10-01 04:48:00
1993645,0.238,0.064,241.12,1.0,0.0,0.0,0.0,2010-10-01 04:49:00
1993646,0.238,0.064,240.87,1.0,0.0,0.0,1.0,2010-10-01 04:50:00
1993647,0.236,0.064,240.64,1.0,0.0,0.0,0.0,2010-10-01 04:51:00
1993648,0.272,0.0,239.94,1.2,0.0,0.0,1.0,2010-10-01 04:52:00
1993649,0.312,0.0,239.28,1.2,0.0,0.0,1.0,2010-10-01 04:53:00
1993650,0.312,0.0,239.44,1.2,0.0,0.0,0.0,2010-10-01 04:54:00
1993651,0.314,0.0,239.47,1.2,0.0,0.0,1.0,2010-10-01 04:55:00
1993652,0.312,0.0,239.3,1.2,0.0,0.0,1.0,2010-10-01 04:56:00
1993653,0.31,0.0,239.19,1.2,0.0,0.0,0.0,2010-10-01 04:57:00
1993654,0.308,0.0,239.12,1.2,0.0,0.0,1.0,2010-10-01 04:58:00
1993655,0.31,0.0,239.88,1.2,0.0,0.0,1.0,2010-10-01 04:59:00
1993656,0.27,0.0,239.9,1.2,0.0,0.0,0.0,2010-10-01 05:00:00
1993657,0.236,0.064,239.55,1.0,0.0,0.0,1.0,2010-10-01 05:01:00
1993658,0.35,0.056,239.77,1.6,0.0,0.0,0.0,2010-10-01 05:02:00
1993659,0.344,0.064,239.87,1.4,0.0,0.0,1.0,2010-10-01 05:03:00
1993660,0.34,0.064,239.84,1.4,0.0,0.0,1.0,2010-10-01 05:04:00
1993661,0.338,0.064,239.78,1.4,0.0,0.0,0.0,2010-10-01 05:05:00
1993662,0.336,0.064,239.49,1.4,0.0,0.0,1.0,2010-10-01 05:06:00
1993663,0.334,0.064,239.58,1.4,0.0,0.0,1.0,2010-10-01 05:07:00
